year,bottom_90,top_10,top_05,top_01,top_005,top_001,top_0001
1969,54449,1149432,1765905,4570511,6744774,16361898,56069831
1970,52254,1097463,1715680,4319772,6237128,14838733,49948445
1971,52577,1098378,1699219,4241525,6156176,14494641,46707226
1972,56180,1160663,1792589,4414822,6342548,14535005,48388919
1973,57764,1160690,1771819,4177379,5898109,13392418,41392301
1974,53296,1044223,1582401,3790814,5439352,12119451,36893236
1975,51383,992147,1516649,3594890,5080905,11050569,35143049
1976,55081,1039479,1550126,3601588,5048056,11033508,34971938
1977,57267,1055210,1609592,3754698,5276933,11515706,35951244
1978,58946,1066312,1577152,3663275,5151356,11292744,35417571
1979,59694,1111715,1683262,4016875,5715638,13010323,43400723
1980,62433,1147563,1733841,4161007,5959876,13708193,44446068
1981,62815,1145368,1747416,4326028,6327552,14994320,51338227
1982,64736,1126599,1724946,4386376,6505639,16094031,55566796
1983,67837,1134048,1722844,4312954,6364232,15593067,54256476
1984,70831,1152291,1752652,4440246,6612851,16657411,60172147
1985,76222,1202966,1837467,4736191,7128559,18247358,67454780
1986,82184,1293153,1977804,5103983,7653535,18890918,69257890
1987,83967,1358390,2093291,5530257,8340522,21458050,78897973
1988,83402,1414918,2202696,6049208,9313103,25187347,96041513
1989,86446,1459787,2271774,6222661,9585856,25736981,96986414
1990,84968,1466986,2283610,6277105,9705220,26088582,99489220
1991,86028,1469833,2288835,6197273,9456586,25082169,95441054
1992,84112,1543581,2423718,6716113,10380723,28055697,111302552
1993,84642,1579136,2482542,6896340,10672707,29177185,116624468
1994,86115,1600622,2516390,6929076,10671447,28745438,111774617
1995,88690,1666016,2619377,7260852,11220622,30420912,119145491
1996,92303,1767889,2793405,7867302,12262337,34189955,139909345
1997,96719,1902262,3022891,8661191,13610244,38651920,158129048
1998,104474,2109370,3379542,9847263,15517140,44277613,180812703
1999,114340,2346904,3782500,11242306,17781891,50740777,209850085
2000,116025,2418869,3922649,11826127,18920972,55374904,239646254
2001,113238,2290086,3690055,10998886,17568698,51987995,231414412
2002,107977,2165055,3464151,10045140,15838592,45631780,197558933
2003,109405,2219631,3554691,10348515,16280264,47013076,208341750
2004,117930,2473229,3991833,11853626,18864147,55213950,248093391
2005,127625,2672611,4321743,12983416,20869304,62274701,283344732
2006,130182,2821808,4591823,13936325,22421597,66962084,306177422
2007,125668,2857176,4670325,14337926,23173750,70475224,337520129
2008,96960,2566882,4222565,13115936,21329863,65264962,315369915
2009,85198,2309706,3786175,11643592,18853962,58050295,295927584
2010,85871,2412405,3987729,12589024,20663290,65959953,343177760
2011,85851,2443659,4051141,12801254,20916982,65403758,325458892
2012,83683,2555924,4277897,13839846,22845142,72825966,371244323
