State,Dataset,Jan-95,Feb-95,Mar-95,Apr-95,May-95,Jun-95,Jul-95,Aug-95,Sep-95,Oct-95,Nov-95,Dec-95,Jan-96,Feb-96,Mar-96,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Minnesota,Employment,2489002,2493441,2497108,2500148,2502936,2505920,2509221,2512699,2516105,2519331,2522412,2525486,2528717,2532159,2535861,2539883,2544164,2548542,2552856,2556813,2560058,2562501,2564327,2565986,2567872,2570403,2573864,2578367,2583728,2589604,2595578,2601281,2606419,2610798,2614486,2617890,2621422,2625225,2629134,2632837,2636017,2638592,2640754,2643000,2645758,2649104,2652825,2656549,2659968,2663136,2666372,2669801,2673477,2677299,2681111,2684803,2688457,2692282,2696480,2700968,2705591,2709969,2713723,2716809,2719368,2721528,2723652,2726141,2729217,2732908,2736839,2740405,2743050,2744353,2744166,2742676,2740459,2738182,2736210,2734520,2733007,2731563,2730086,2728631,2727229,2726099,2725534,2725851,2727019,2728839,2730845,2732535,2733553,2733843,2733674,2733422,2733313,2733314,2733272,2733044,2732598,2732091,2731644,2731357,2731238,2731167,2731237,2731685,2732697,2734350,2736475,2738625,2740493,2741962,2743235,2744449,2745551,2746295,2746583,2746623,2746935,2747981,2749997,2752861,2756086,2758996,2761121,2762546,2763762,2765256,2767115,2768932,2770443,2771485,2771930,2771884,2771567,2771207,2771028,2771135,2771534,2772286,2773251,2774260,2775069,2775511,2775657,2775671,2775673,2775723,2775700,2775464,2775044,2774682,2774589,2774768,2774936,2774814,2774294,2773483,2772664,2772031,2771433,2770395,2768238,2764430,2758874,2751991,2744376,2736810,2729999,2724104,2718977,2714522,2710832,2708053,2706262,2705348,2705292,2706040,2707447,2709419,2711798,2714358,2716784,2718741,2720135,2721274,2722740,2725000,2728185,2732147,2737593,2742322,2746346,2749819,2753079,2756306,2759659,2763115,2766356,2769202,2771760,2774214,2776790,2779651,2782641,2785338,2787733,2790249,2793065,2796229,2799813,2803851,2807969,2811807,2815276,2818244,2820617,2822542,2824318,2826386,2829202,2832813,2836738,2840368,2843289,2845458,2847046,2848779,2851474,2855330,2859977,2864662,2868645,2871631,2873887,2875841,2878095,2881037,2884584,2888443,2892335,2895996,2899175,2901754,2903716,2905204,2906544,2907915,2909234,2910297
Minnesota,Labor Force,2587452,2591420,2594867,2597645,2599948,2602173,2604696,2607712,2611205,2615248,2619952,2625239,2630927,2636817,2642634,2648129,2652871,2656668,2659638,2661881,2663339,2663955,2663851,2663439,2663351,2664006,2665620,2668550,2672782,2677767,2682751,2687166,2690691,2693353,2695153,2696469,2697945,2699827,2701925,2704050,2706252,2708769,2711907,2715619,2719641,2723278,2726019,2727916,2729399,2731757,2736114,2742396,2749541,2756356,2761796,2765679,2768730,2772176,2776787,2782547,2788762,2794218,2798228,2801137,2803764,2806948,2811196,2816386,2821913,2827242,2832082,2836263,2839603,2842141,2843752,2844195,2843719,2842921,2842582,2843289,2845265,2848133,2851442,2854587,2856970,2858327,2858817,2858883,2858867,2858876,2858854,2858893,2859146,2859545,2860227,2861342,2863229,2865795,2868696,2871613,2874234,2876326,2877540,2877839,2877187,2876129,2875049,2874101,2873537,2873503,2874264,2875659,2877305,2878732,2879686,2879725,2878528,2876157,2873003,2870213,2868552,2868215,2868830,2869882,2871022,2872120,2873354,2875037,2877668,2881174,2884902,2887654,2888614,2887878,2885949,2883645,2881784,2881181,2882198,2884882,2888704,2892797,2896628,2899875,2902397,2904165,2905313,2906297,2907532,2908986,2910461,2911704,2912446,2912704,2912613,2912544,2913027,2914395,2916879,2920361,2924405,2928564,2932421,2935686,2938744,2942096,2945910,2949874,2953623,2956626,2958303,2958101,2955960,2952365,2947975,2943465,2939336,2936110,2934261,2933838,2934239,2934618,2934639,2934129,2933251,2932474,2932410,2933355,2934951,2936432,2937144,2937220,2939298,2939987,2941633,2944365,2947787,2950747,2952270,2951974,2950107,2947623,2945497,2944348,2944495,2945724,2947490,2949524,2951721,2954308,2957134,2960033,2962886,2965329,2967233,2968625,2969635,2970236,2970369,2970137,2969913,2970114,2971160,2972987,2975214,2977519,2979509,2980796,2981347,2981502,2981822,2982486,2983341,2984233,2985180,2986298,2987672,2989356,2991295,2993507,2995964,2998601,3001382,3004218,3006996,3009552,3011741,3013670,3015627,3017725,3019789,3021733
Mississippi,Unemployment,74650,74279,74566,75660,77291,78940,80162,80669,80495,80004,79417,79035,78970,79101,79106,78636,77592,76216,74856,73938,73674,73996,74561,74791,74369,73388,72184,71357,71264,71785,72519,72999,72799,71895,70568,69215,68153,67520,67277,67206,67196,67201,67184,67029,66694,66102,65300,64530,63891,63418,63157,63187,63558,64218,65079,65993,66974,68017,69049,70030,71006,71950,72741,73181,73054,72412,71403,70077,68537,67123,66238,65941,66045,66334,66674,67081,67693,68709,70335,72772,75855,79070,81988,84419,86189,87199,87548,87278,86498,85347,84098,83163,82773,82929,83448,84080,84841,85736,86809,87787,88231,87483,85240,81845,78087,74933,72975,72427,73059,74417,76459,78862,81246,82991,83834,83823,83448,83409,84126,85686,87769,89715,89946,89111,89312,92487,99115,107581,100014,108953,109215,108387,101827,93451,88451,85710,84261,83170,81778,80232,78850,78090,78497,79924,81790,83302,84004,83856,83239,82155,80764,79443,78423,77892,77857,78350,79375,80800,82638,84872,87357,89508,90918,91625,92291,93759,96673,101317,107181,113164,118089,121304,122930,123554,123979,124890,126655,129280,132288,134912,136499,137004,136646,135752,134677,133825,133619,133914,134390,134778,134904,134833,134723,134592,134421,134362,134429,134524,134288,133618,132524,130786,128453,125679,122810,120357,118792,118133,118202,118458,118403,117912,117098,116207,115479,114969,114594,114020,112963,111409,109587,107851,106335,104843,103258,101797,100564,99531,98628,97827,97078,96194,95029,93597,92167,90865,89480,87899,86207,84729,83643,82947,82453,82015,81452,80764,80342,80600,81733,83431,85316,87257
Mississippi,Employment,1183637,1182854,1181384,1179663,1178471,1178419,1179428,1180880,1182019,1182312,1181809,1180965,1180524,1180974,1182380,1184478,1186848,1189103,1191066,1192595,1193489,1193856,1194011,1194416,1195282,1196531,1198005,1199302,1200013,1200187,1200241,1200615,1201625,1203134,1204703,1206039,1206867,1207225,1207163,1206910,1206774,1206873,1207281,1208097,1209192,1210298,1211120,1211377,1211142,1210776,1210750,1211555,1213348,1216091,1219565,1223547,1227891,1232395,1236906,1241199,1245090,1248319,1250731,1252139,1252493,1251854,1250469,1248832,1247341,1246267,1245514,1244702,1243336,1241045,1237764,1233673,1229169,1224518,1219916,1215340,1210946,1207023,1203721,1201200,1199540,1198642,1198244,1198387,1199077,1200198,1201432,1202524,1203359,1203876,1204329,1204957,1205883,1207200,1208837,1210579,1212484,1215042,1218503,1222642,1226935,1230771,1233675,1235434,1236170,1236241,1235989,1235634,1235115,1234266,1233033,1231551,1230028,1228723,1227900,1227738,1228221,1229235,1230847,1232615,1233761,1233716,1232320,1229887,1192603,1190421,1189463,1189946,1191755,1194290,1196835,1199190,1201640,1204077,1206553,1209025,1211239,1212917,1213820,1213892,1213296,1212552,1212227,1212800,1214515,1217446,1221375,1225891,1230547,1234757,1238071,1240194,1240848,1239838,1237102,1232834,1227549,1221981,1216570,1211418,1206302,1200809,1194478,1187166,1179196,1171227,1163902,1157454,1151656,1146286,1141215,1136491,1132325,1128924,1126589,1125433,1125389,1126211,1127554,1129037,1130252,1173516,1194366,1203719,1207284,1208304,1208523,1208707,1207864,1208384,1208627,1208508,1208153,1207783,1207555,1207414,1207349,1207368,1207352,1207235,1206894,1206138,1204793,1202836,1200502,1198067,1195722,1193256,1190280,1186495,1181949,1176980,1172083,1167800,1164397,1161861,1159768,1157730,1155614,1153590,1151861,1150415,1149231,1148199,1147238,1146269,1145335,1144610,1144392,1144952,1146236,1148233,1150959,1154443,1158496,1162938,1167539,1172142,1176662,1180919,1184852,1188413,1191518,1194204,1196543,1198635,1200414,1201799
Mississippi,Labor Force,1258287,1257133,1255950,1255323,1255762,1257359,1259590,1261549,1262514,1262316,1261226,1260000,1259494,1260075,1261486,1263114,1264440,1265319,1265922,1266533,1267163,1267852,1268572,1269207,1269651,1269919,1270189,1270659,1271277,1271972,1272760,1273614,1274424,1275029,1275271,1275254,1275020,1274745,1274440,1274116,1273970,1274074,1274465,1275126,1275886,1276400,1276420,1275907,1275033,1274194,1273907,1274742,1276906,1280309,1284644,1289540,1294865,1300412,1305955,1311229,1316096,1320269,1323472,1325320,1325547,1324266,1321872,1318909,1315878,1313390,1311752,1310643,1309381,1307379,1304438,1300754,1296862,1293227,1290251,1288112,1286801,1286093,1285709,1285619,1285729,1285841,1285792,1285665,1285575,1285545,1285530,1285687,1286132,1286805,1287777,1289037,1290724,1292936,1295646,1298366,1300715,1302525,1303743,1304487,1305022,1305704,1306650,1307861,1309229,1310658,1312448,1314496,1316361,1317257,1316867,1315374,1313476,1312132,1312026,1313424,1315990,1318950,1320793,1321726,1323073,1326203,1331435,1337468,1292617,1299374,1298678,1298333,1293582,1287741,1285286,1284900,1285901,1287247,1288331,1289257,1290089,1291007,1292317,1293816,1295086,1295854,1296231,1296656,1297754,1299601,1302139,1305334,1308970,1312649,1315928,1318544,1320223,1320638,1319740,1317706,1314906,1311489,1307488,1303043,1298593,1294568,1291151,1288483,1286377,1284391,1281991,1278758,1274586,1269840,1265194,1261381,1258980,1258204,1258877,1260345,1261888,1263215,1264200,1264789,1264929,1307341,1327985,1337633,1341674,1343082,1343427,1343540,1342587,1342976,1343048,1342870,1342582,1342307,1341843,1341032,1339873,1338154,1335805,1332914,1329704,1326495,1323585,1320969,1318704,1316525,1314125,1311168,1307378,1302702,1297428,1291949,1286677,1281820,1277360,1273270,1269355,1265581,1261949,1258433,1255119,1252212,1249795,1247730,1245866,1244096,1242413,1240804,1239421,1238549,1238403,1239098,1240439,1242342,1244703,1247667,1251182,1255089,1259115,1262934,1266304,1269177,1271860,1274804,1278276,1282066,1285730,1289056
Missouri,Unemployment,138211,138572,139233,139826,140058,139367,137352,134370,131071,128369,126891,127256,129492,133126,137045,140089,141289,140865,139716,138928,139165,140363,141409,140956,138353,133937,128453,123725,121254,121267,122845,124973,126699,127861,128591,129088,129370,129516,129645,129153,127709,125551,123149,120145,116268,111146,105259,99630,95426,93691,94646,97731,101103,102752,101902,98807,94744,91281,89542,89932,92032,94365,95998,96904,97928,99877,102898,107262,112867,119011,124914,129668,132557,133614,133100,131567,130191,130387,132962,137571,143051,148404,153100,156910,159879,162162,163935,165018,165193,164185,162412,160699,159636,159355,159463,159931,161259,163546,166712,170637,174722,177920,179079,177788,174567,170760,167632,165855,165527,166719,169417,172897,176336,179124,180962,181657,181368,180474,179316,178337,177408,176115,173597,169557,164225,158860,154725,152282,151425,151236,151014,150081,148212,145799,143756,142979,143552,145147,147136,149293,151139,151969,151689,150482,149137,148321,148364,149387,151629,154681,158147,161488,163940,165311,165539,165125,164823,165295,167338,171257,176655,182732,188740,194651,201659,211098,222976,236502,250370,263356,273987,281657,286780,290274,292799,294504,295380,295722,296362,297600,298523,298443,297176,294797,291546,288410,286353,285870,286412,286671,285431,282145,278585,273231,267719,262925,259352,256680,254204,251064,246452,240351,233282,226020,219395,214292,211209,209267,207800,206337,204871,203830,203573,203584,203346,202675,201671,200593,199741,199463,199616,199509,198582,196536,194152,192813,192954,194153,195412,195711,194360,191515,187704,183695,180172,177338,174872,172298,169822,167844,166266,164874,163214,160894,157789,154211,150391,146789,143723,141142,138911,137187
Missouri,Employment,2722017,2725756,2726466,2725525,2724852,2725655,2728236,2731649,2734871,2737160,2738615,2740106,2743013,2747974,2754767,2762506,2770086,2776795,2782273,2786383,2788576,2788694,2787673,2786988,2787533,2789597,2793303,2798050,2802317,2805306,2807239,2808285,2808520,2807799,2805639,2802410,2798765,2795552,2793169,2792249,2793036,2794623,2795966,2797145,2798442,2800050,2801457,2801990,2801408,2799953,2798262,2797091,2797138,2799167,2803011,2808203,2814437,2821270,2828649,2835869,2841983,2846297,2848545,2848736,2847557,2845917,2845243,2846953,2851529,2858722,2867198,2875079,2880883,2883677,2883362,2880420,2875723,2869788,2863045,2855281,2847094,2839572,2833538,2829855,2828604,2828883,2829554,2830607,2832314,2835065,2838498,2841988,2844758,2845981,2846086,2845835,2846168,2847660,2849662,2850562,2849399,2846897,2844397,2843012,2843279,2844953,2846846,2847450,2845806,2842119,2837777,2834016,2831367,2829781,2828809,2827982,2826824,2825112,2823160,2821738,2821440,2822601,2825573,2830390,2836399,2842010,2845781,2847266,2846992,2846346,2846746,2849062,2853570,2859676,2866198,2872029,2876885,2880923,2884970,2889430,2894069,2898495,2901786,2903039,2901963,2898954,2894597,2889876,2885478,2881726,2878646,2876175,2874334,2872663,2870839,2868902,2866698,2864302,2861698,2858710,2855392,2852110,2848836,2845219,2840625,2834548,2826882,2817825,2808145,2799033,2791699,2786394,2782161,2777919,2772814,2766693,2760169,2754122,2749773,2748037,2749034,2751652,2754706,2757441,2759411,2760264,2760147,2759839,2760072,2761721,2765112,2769902,2774546,2779799,2784045,2786861,2788810,2790865,2793777,2797482,2801406,2804832,2806913,2807401,2806685,2805386,2803896,2802695,2802271,2802719,2803881,2805395,2806932,2808075,2808798,2809332,2809822,2810665,2812195,2814364,2816463,2818110,2819435,2820727,2822250,2824118,2826548,2829712,2833849,2838987,2845053,2851942,2859766,2868420,2877349,2886527,2896184,2906285,2916206,2925180,2932621,2938412,2942974,2946950,2951096,2956091,2962218,2968868,2975194,2980913,2985863,2989744
Missouri,Labor Force,2860228,2864328,2865699,2865351,2864910,2865022,2865588,2866019,2865942,2865529,2865506,2867362,2872505,2881100,2891812,2902595,2911375,2917660,2921989,2925311,2927741,2929057,2929082,2927944,2925886,2923534,2921756,2921775,2923571,2926573,2930084,2933258,2935219,2935660,2934230,2931498,2928135,2925068,2922814,2921402,2920745,2920174,2919115,2917290,2914710,2911196,2906716,2901620,2896834,2893644,2892908,2894822,2898241,2901919,2904913,2907010,2909181,2912551,2918191,2925801,2934015,2940662,2944543,2945640,2945485,2945794,2948141,2954215,2964396,2977733,2992112,3004747,3013440,3017291,3016462,3011987,3005914,3000175,2996007,2992852,2990145,2987976,2986638,2986765,2988483,2991045,2993489,2995625,2997507,2999250,3000910,3002687,3004394,3005336,3005549,3005766,3007427,3011206,3016374,3021199,3024121,3024817,3023476,3020800,3017846,3015713,3014478,3013305,3011333,3008838,3007194,3006913,3007703,3008905,3009771,3009639,3008192,3005586,3002476,3000075,2998848,2998716,2999170,2999947,3000624,3000870,3000506,2999548,2998417,2997582,2997760,2999143,3001782,3005475,3009954,3015008,3020437,3026070,3032106,3038723,3045208,3050464,3053475,3053521,3051100,3047275,3042961,3039263,3037107,3036407,3036793,3037663,3038274,3037974,3036378,3034027,3031521,3029597,3029036,3029967,3032047,3034842,3037576,3039870,3042284,3045646,3049858,3054327,3058515,3062389,3065686,3068051,3068941,3068193,3065613,3061197,3055549,3049844,3046135,3045637,3047557,3050095,3051882,3052238,3050957,3048674,3046500,3045709,3046484,3048392,3050543,3052047,3053131,3053030,3051764,3049786,3048162,3047545,3047981,3048546,3047858,3045183,3040195,3033421,3026080,3019678,3015105,3011962,3010071,3009056,3008752,3009225,3010505,3011659,3012144,3012007,3011493,3011258,3011936,3013827,3016079,3017619,3018017,3017263,3016402,3016931,3019502,3023865,3029261,3034698,3039413,3043457,3047470,3052115,3057521,3063865,3071056,3078583,3086028,3093024,3098887,3103286,3106188,3107844,3108885,3110302,3112609,3115657,3118917,3122055,3124774,3126931
Montana,Unemployment,24202,24479,24660,24773,24863,24993,25194,25439,25620,25619,25502,25300,25061,24844,24674,24541,24402,24184,23843,23453,23097,22841,22748,22847,23094,23420,23745,24004,24162,24230,24238,24246,24299,24453,24668,24892,25116,25296,25389,25391,25340,25303,25342,25450,25604,25755,25808,25730,25512,25199,24876,24609,24427,24307,24205,24098,23990,23877,23773,23678,23584,23494,23414,23359,23328,23315,23297,23209,23012,22709,22359,22029,21769,21593,21475,21376,21271,21146,21016,20906,20816,20761,20767,20820,20900,20980,21003,20913,20699,20421,20181,20074,20140,20339,20604,20882,21142,21361,21565,21785,22013,22227,22411,22580,22759,22958,23139,23270,23336,23326,23250,23143,23060,23011,22940,22819,22646,22452,22272,22124,21999,21888,21774,21637,21472,21275,21073,20842,20522,20108,19629,19138,18685,18313,18039,17845,17684,17508,17279,16958,16566,16082,15525,14978,14584,14497,14810,15523,16537,17687,18796,19716,20391,20844,21171,21458,21795,22235,22791,23449,24186,25003,25884,26866,27971,29215,30572,31948,33199,34168,34753,34940,34816,34523,34266,34200,34375,34796,35386,36039,36607,36983,37112,37010,36753,36445,36181,36034,36044,36169,36327,36426,36383,36229,35965,35662,35383,35139,34871,34498,33980,33333,32628,31968,31447,31110,30938,30861,30792,30656,30405,30047,29634,29211,28831,28513,28271,28100,27979,27864,27736,27593,27455,27316,27143,26924,26644,26293,25872,25403,24938,24532,24195,23927,23708,23492,23247,22930,22524,22072,21647,21329,21156,21126,21202,21327,21437,21516,21558,21590,21618,21645
Montana,Employment,415469,415736,416016,416378,416920,417663,418492,419256,419834,420218,420547,421032,421760,422665,423620,424487,425170,425724,426231,426705,427108,427373,427415,427246,426980,426755,426694,426842,427186,427655,428233,428939,429772,430639,431423,432025,432384,432578,432739,432994,433432,434067,434881,435775,436611,437273,437770,438116,438355,438578,438847,439181,439548,439889,440190,440484,440831,441310,441926,442662,443466,444167,444625,444843,444855,444729,444487,444202,443996,443969,444146,444513,444995,445473,445801,445842,445597,445202,444781,444455,444281,444302,444470,444683,444856,444993,445155,445398,445756,446191,446691,447221,447726,448149,448458,448644,448665,448484,448194,447941,447881,448103,448588,449222,449879,450432,450910,451431,452172,453266,454611,455975,457134,457963,458530,458939,459320,459778,460301,460804,461242,461588,461882,462248,462800,463643,464735,465977,467272,468478,469549,470528,471519,472698,474113,475612,476914,477759,478059,477994,477837,477961,478627,479818,481274,482587,483523,484049,484274,484356,484433,484583,484854,485270,485738,486183,486470,486472,486155,485588,484916,484243,483645,483016,482139,480732,478683,476089,473261,470636,468514,467001,466027,465433,465018,464652,464297,463948,463641,463374,463172,463060,463096,463285,463563,463798,463867,463737,463437,463074,462781,462681,462800,463107,463469,463856,464300,464884,465671,466661,467765,468846,469774,470524,471158,471795,472532,473389,474348,475370,476362,477276,478130,478997,479914,480893,481901,482834,483570,484044,484295,484493,484875,485540,486450,487459,488375,489034,489391,489587,489842,490285,490919,491589,492129,492527,492914,493465,494371,495660,497175,498647,499827,500623,501089,501382,501611,501829,502033,502182,502270,502284
Montana,Labor Force,439671,440215,440676,441151,441783,442656,443686,444695,445454,445837,446049,446332,446821,447509,448294,449028,449572,449908,450074,450158,450205,450214,450163,450093,450074,450175,450439,450846,451348,451885,452471,453185,454071,455092,456091,456917,457500,457874,458128,458385,458772,459370,460223,461225,462215,463028,463578,463846,463867,463777,463723,463790,463975,464196,464395,464582,464821,465187,465699,466340,467050,467661,468039,468202,468183,468044,467784,467411,467008,466678,466505,466542,466764,467066,467276,467218,466868,466348,465797,465361,465097,465063,465237,465503,465756,465973,466158,466311,466455,466612,466872,467295,467866,468488,469062,469526,469807,469845,469759,469726,469894,470330,470999,471802,472638,473390,474049,474701,475508,476592,477861,479118,480194,480974,481470,481758,481966,482230,482573,482928,483241,483476,483656,483885,484272,484918,485808,486819,487794,488586,489178,489666,490204,491011,492152,493457,494598,495267,495338,494952,494403,494043,494152,494796,495858,497084,498333,499572,500811,502043,503229,504299,505245,506114,506909,507641,508265,508707,508946,509037,509102,509246,509529,509882,510110,509947,509255,508037,506460,504804,503267,501941,500843,499956,499284,498852,498672,498744,499027,499413,499779,500043,500208,500295,500316,500243,500048,499771,499481,499243,499108,499107,499183,499336,499434,499518,499683,500023,500542,501159,501745,502179,502402,502492,502605,502905,503470,504250,505140,506026,506767,507323,507764,508208,508745,509406,510172,510934,511549,511908,512031,512086,512330,512856,513593,514383,515019,515327,515263,514990,514780,514817,515114,515516,515837,516019,516161,516395,516895,517732,518822,519976,520983,521749,522291,522709,523048,523345,523591,523772,523888,523929
Nebraska,Unemployment,22750,22744,22974,23361,23797,24136,24322,24367,24389,24496,24685,24892,25057,25205,25331,25409,25385,25269,25074,24826,24620,24483,24394,24281,24118,23871,23549,23261,23074,22973,22896,22786,22555,22273,22047,21923,21901,21984,22188,22470,22821,23262,23802,24397,24963,25386,25600,25663,25644,25618,25641,25771,25994,26240,26445,26564,26589,26525,26373,26197,26070,26013,26041,26138,26273,26465,26693,26911,27093,27228,27341,27455,27601,27841,28182,28568,28969,29349,29741,30221,30828,31549,32352,33158,33889,34469,34847,35033,35055,34960,34825,34735,34754,34926,35292,35833,36502,37213,37878,38409,38745,38882,38794,38526,38181,37904,37740,37667,37627,37534,37352,37135,36966,36915,36969,37134,37364,37642,37961,38297,38538,38586,38396,37969,37399,36805,36401,36194,35983,35565,34819,33767,32547,31378,30487,30003,29916,30059,30232,30261,30243,30136,29827,29338,28838,28511,28448,28661,29058,29602,30117,30420,30446,30265,30088,29997,30015,30202,30581,31090,31644,32190,32771,33599,34654,35895,37354,39086,40990,42858,44495,45817,46785,47348,47579,47593,47552,47639,47822,47973,48042,47967,47646,47060,46307,45607,45059,44684,44498,44467,44523,44602,44743,44634,44394,44093,43832,43651,43582,43552,43431,43137,42649,42025,41346,40726,40280,40015,39909,39917,39993,40089,40222,40290,40259,40120,39908,39679,39461,39245,39000,38667,38207,37630,36963,36370,35958,35673,35413,35110,34707,34192,33570,32884,32204,31595,31053,30508,29911,29359,28931,28679,28648,28887,29344,29908,30408,30723,30863,30910,30899,30846
Nebraska,Employment,873552,874509,875215,875900,876737,877782,878925,880070,881137,882102,883005,883924,884937,885970,886916,887708,888428,889161,889975,890864,891689,892388,892960,893488,894057,894741,895543,896389,897209,897963,898696,899454,900286,901150,901970,902751,903442,904087,904725,905383,906071,906805,907615,908467,909287,909940,910310,910303,909983,909576,909343,909499,910042,910800,911551,912193,912776,913429,914270,915285,916398,917399,918101,918457,918522,918427,918283,918200,918261,918532,919006,919644,920334,920943,921419,921719,921816,921734,921562,921277,920807,920156,919387,918638,918049,917721,917673,917876,918289,918812,919289,919758,920365,921116,922001,922959,923910,924732,925299,925524,925485,925401,925491,925867,926472,927196,927903,928483,928936,929370,929938,930703,931603,932478,933202,933665,933860,933902,933915,933996,934180,934454,934756,935036,935267,935449,935599,935726,935864,936046,936297,936614,937004,937446,937891,938330,938754,939181,939677,940299,941039,941834,942641,943444,944256,945106,946063,947166,948371,949580,950627,951485,952249,953053,953980,955033,956102,957006,957595,957798,957721,957550,957429,957344,957146,956689,955824,954491,952747,950824,948987,947433,946235,945379,944774,944275,943786,943266,942803,942545,942626,943110,943958,945039,946159,947136,947907,948534,949110,949738,950533,951538,952541,953781,954999,956158,957279,958408,959593,960878,962287,963805,965375,966938,968479,969966,971350,972612,973761,974826,975857,976875,977850,978726,979410,979881,980174,980371,980561,980804,981085,981371,981609,981773,981886,981983,982091,982207,982288,982295,982191,981986,981731,981446,981158,980917,980760,980707,980766,980884,980990,981068,981147,981250,981459,981899,982586,983399,984213,984933,985534,985954
Nebraska,Labor Force,896302,897253,898189,899261,900534,901918,903247,904437,905526,906598,907690,908816,909994,911175,912247,913117,913813,914430,915049,915690,916309,916871,917354,917769,918175,918612,919092,919650,920283,920936,921592,922240,922841,923423,924017,924674,925343,926071,926913,927853,928892,930067,931417,932864,934250,935326,935910,935966,935627,935194,934984,935270,936036,937040,937996,938757,939365,939954,940643,941482,942468,943412,944142,944595,944795,944892,944976,945111,945354,945760,946347,947099,947935,948784,949601,950287,950785,951083,951303,951498,951635,951705,951739,951796,951938,952190,952520,952909,953344,953772,954114,954493,955119,956042,957293,958792,960412,961945,963177,963933,964230,964283,964285,964393,964653,965100,965643,966150,966563,966904,967290,967838,968569,969393,970171,970799,971224,971544,971876,972293,972718,973040,973152,973005,972666,972254,972000,971920,971847,971611,971116,970381,969551,968824,968378,968333,968670,969240,969909,970560,971282,971970,972468,972782,973094,973617,974511,975827,977429,979182,980744,981905,982695,983318,984068,985030,986117,987208,988176,988888,989365,989740,990200,990943,991800,992584,993178,993577,993737,993682,993482,993250,993020,992727,992353,991868,991338,990905,990625,990518,990668,991077,991604,992099,992466,992743,992966,993218,993608,994205,995056,996140,997284,998415,999393,1000251,1001111,1002059,1003175,1004430,1005718,1006942,1008024,1008963,1009825,1010692,1011630,1012627,1013670,1014743,1015850,1016964,1018072,1019016,1019669,1020001,1020082,1020050,1020022,1020049,1020085,1020038,1019816,1019403,1018849,1018353,1018049,1017880,1017701,1017405,1016898,1016178,1015301,1014330,1013362,1012512,1011813,1011215,1010677,1010243,1009921,1009747,1009795,1010137,1010803,1011807,1012994,1014122,1015076,1015843,1016433,1016800
