state_name,year,no_high_school_diploma,high_school_or_equivalent,some_college_less_than_4_yr_degree,bachelors_degree_or_higher
MARYLAND,2007,232,546,526,800
MASSACHUSETTS,2007,279,647,506,1060
MICHIGAN,2007,421,1467,1148,940
MINNESOTA,2007,165,513,675,684
MISSISSIPPI,2007,238,323,306,210
MISSOURI,2007,316,849,624,640
MONTANA,2007,38,130,133,109
NEBRASKA,2007,63,231,237,190
NEVADA,2007,118,335,296,224
NEW HAMPSHIRE,2007,44,155,148,169
NEW JERSEY,2007,370,952,650,1222
NEW MEXICO,2007,120,204,226,216
NEW YORK,2007,1105,2315,1688,2378
NORTH CAROLINA,2007,587,1064,992,925
NORTH DAKOTA,2007,28,76,95,69
OHIO,2007,540,1795,1204,1108
OKLAHOMA,2007,189,487,435,321
OREGON,2007,149,355,535,455
PENNSYLVANIA,2007,658,1980,958,1378
RHODE ISLAND,2007,77,106,91,145
SOUTH CAROLINA,2007,317,526,465,426
SOUTH DAKOTA,2007,36,109,92,83
TENNESSEE,2007,435,791,625,570
TEXAS,2007,1611,2237,2459,2299
UTAH,2007,71,230,311,239
VERMONT,2007,26,80,64,93
VIRGINIA,2007,374,880,650,1022
WASHINGTON,2007,241,689,837,810
WEST VIRGINIA,2007,134,327,175,112
WISCONSIN,2007,198,824,677,576
WYOMING,2007,19,76,79,38
ALABAMA,2008,299,551,526,458
ALASKA,2008,16,78,94,68
ARIZONA,2008,381,584,807,691
ARKANSAS,2008,220,422,286,225
CALIFORNIA,2008,2071,2760,3877,4286
COLORADO,2008,185,459,570,762
CONNECTICUT,2008,137,374,336,524
DELAWARE,2008,43,112,89,92
DISTRICT OF COLUMBIA,2008,31,60,51,141
FLORIDA,2008,819,2287,2181,2206
GEORGIA,2008,474,191,1025,1145
HAWAII,2008,38,116,145,132
IDAHO,2008,56,171,197,140
ILLINOIS,2008,560,1351,1445,1549
INDIANA,2008,285,954,709,542
IOWA,2008,109,423,398,308
KANSAS,2008,98,329,339,344
KENTUCKY,2008,301,576,457,381
LOUISIANA,2008,254,543,400,375
MAINE,2008,44,211,149,143
MARYLAND,2008,206,529,523,830
MASSACHUSETTS,2008,253,653,505,1052
MICHIGAN,2008,440,1320,1173,1021
MINNESOTA,2008,143,521,709,725
MISSISSIPPI,2008,221,341,299,237
MISSOURI,2008,309,753,719,602
MONTANA,2008,33,138,133,99
NEBRASKA,2008,64,236,224,190
NEVADA,2008,122,303,317,251
NEW HAMPSHIRE,2008,39,144,148,183
NEW JERSEY,2008,367,1031,591,1243
NEW MEXICO,2008,109,200,241,229
NEW YORK,2008,1074,2230,1747,2423
NORTH CAROLINA,2008,615,1010,1029,1043
NORTH DAKOTA,2008,28,69,98,69
OHIO,2008,499,1722,1208,1094
OKLAHOMA,2008,180,479,427,327
OREGON,2008,133,400,516,469
PENNSYLVANIA,2008,607,2041,1089,1330
RHODE ISLAND,2008,74,113,90,139
SOUTH CAROLINA,2008,245,556,524,397
SOUTH DAKOTA,2008,32,120,97,81
TENNESSEE,2008,411,814,685,601
TEXAS,2008,1657,2265,2443,2341
UTAH,2008,79,233,330,261
VERMONT,2008,27,82,66,92
VIRGINIA,2008,330,879,697,1061
WASHINGTON,2008,205,626,952,825
WEST VIRGINIA,2008,133,331,164,111
WISCONSIN,2008,213,710,693,630
WYOMING,2008,20,69,82,46
ALABAMA,2009,325,570,540,428
ALASKA,2009,21,80,90,69
ARIZONA,2009,388,583,859,709
ARKANSAS,2009,176,458,287,233
CALIFORNIA,2009,2030,2613,3983,4332
COLORADO,2009,164,423,582,793
CONNECTICUT,2009,142,374,327,507
DELAWARE,2009,40,111,90,101
DISTRICT OF COLUMBIA,2009,29,55,54,154
FLORIDA,2009,805,2209,2129,2219
GEORGIA,2009,448,1108,1040,1138
HAWAII,2009,42,125,138,129
IDAHO,2009,51,176,197,142
ILLINOIS,2009,484,1407,1393,1549
INDIANA,2009,278,937,745,520
IOWA,2009,110,426,375,317
KANSAS,2009,89,317,368,343
KENTUCKY,2009,286,628,444,348
LOUISIANA,2009,253,634,422,400
MAINE,2009,51,190,166,141
MARYLAND,2009,195,541,538,817
MASSACHUSETTS,2009,259,683,504,1089
MICHIGAN,2009,381,1289,1153,1071
MINNESOTA,2009,173,568,666,709
MISSISSIPPI,2009,222,390,270,243
MISSOURI,2009,278,812,658,641
MONTANA,2009,35,141,133,121
NEBRASKA,2009,73,217,221,198
NEVADA,2009,110,303,317,250
NEW HAMPSHIRE,2009,40,147,145,187
NEW JERSEY,2009,366,956,632,1219
NEW MEXICO,2009,135,189,231,231
NEW YORK,2009,1004,2282,1820,2512
NORTH CAROLINA,2009,536,1077,1053,1037
NORTH DAKOTA,2009,28,67,105,71
OHIO,2009,557,1671,1274,1107
OKLAHOMA,2009,177,458,433,368
OREGON,2009,163,410,491,450
PENNSYLVANIA,2009,595,1833,1146,1306
RHODE ISLAND,2009,64,114,103,141
SOUTH CAROLINA,2009,272,565,474,445
SOUTH DAKOTA,2009,30,117,107,81
TENNESSEE,2009,433,860,647,568
TEXAS,2009,1699,2279,2588,2323
UTAH,2009,68,240,349,240
VERMONT,2009,23,82,65,93
VIRGINIA,2009,304,811,752,1137
WASHINGTON,2009,192,645,954,826
WEST VIRGINIA,2009,126,320,152,156
WISCONSIN,2009,234,759,676,632
WYOMING,2009,20,69,86,46
ALABAMA,2010,291,628,527,402
ALASKA,2010,24,75,96,72
ARIZONA,2010,307,599,807,782
ARKANSAS,2010,189,431,326,217
CALIFORNIA,2010,1849,2646,3817,4502
COLORADO,2010,158,456,515,830
CONNECTICUT,2010,120,388,318,510
DELAWARE,2010,37,120,85,106
DISTRICT OF COLUMBIA,2010,33,54,49,158
FLORIDA,2010,810,2191,2235,2161
GEORGIA,2010,488,1133,990,1140
HAWAII,2010,34,120,142,135
IDAHO,2010,54,160,206,150
ILLINOIS,2010,496,1444,1336,1625
INDIANA,2010,250,1013,691,556
IOWA,2010,116,390,403,309
KANSAS,2010,101,317,369,335
KENTUCKY,2010,306,548,487,391
LOUISIANA,2010,217,635,417,425
MAINE,2010,57,177,152,157
MARYLAND,2010,199,552,562,877
MASSACHUSETTS,2010,273,761,582,1028
MICHIGAN,2010,338,1291,1140,1074
MINNESOTA,2010,190,589,671,670
MISSISSIPPI,2010,202,324,337,209
MISSOURI,2010,295,843,726,527
MONTANA,2010,31,140,132,125
NEBRASKA,2010,65,219,231,206
NEVADA,2010,119,302,305,242
NEW HAMPSHIRE,2010,44,146,153,191
NEW JERSEY,2010,330,1028,684,1184
NEW MEXICO,2010,104,204,244,208
NEW YORK,2010,932,2173,1768,2594
NORTH CAROLINA,2010,473,1120,1077,1079
NORTH DAKOTA,2010,26,73,103,76
OHIO,2010,563,1762,1264,1074
OKLAHOMA,2010,180,455,446,354
OREGON,2010,148,453,493,454
PENNSYLVANIA,2010,573,1950,1124,1384
RHODE ISLAND,2010,68,115,108,139
SOUTH CAROLINA,2010,261,606,461,469
SOUTH DAKOTA,2010,34,106,108,79
TENNESSEE,2010,432,869,637,592
TEXAS,2010,1625,2267,2504,2463
UTAH,2010,69,234,329,270
VERMONT,2010,23,90,62,93
VIRGINIA,2010,318,800,739,1132
WASHINGTON,2010,209,624,943,918
WEST VIRGINIA,2010,124,302,182,158
WISCONSIN,2010,217,720,702,657
WYOMING,2010,18,75,79,52
ALABAMA,2011,310,564,562,427
ALASKA,2011,22,74,100,79
ARIZONA,2011,288,601,826,762
ARKANSAS,2011,151,429,334,245
CALIFORNIA,2011,1990,2848,3867,4519
COLORADO,2011,164,419,569,837
CONNECTICUT,2011,125,391,329,521
DELAWARE,2011,33,119,90,101
DISTRICT OF COLUMBIA,2011,30,54,43,165
FLORIDA,2011,824,2343,2340,2347
GEORGIA,2011,469,1114,1090,1105
HAWAII,2011,31,130,141,153
IDAHO,2011,59,171,199,145
ILLINOIS,2011,534,1495,1374,1637
INDIANA,2011,238,935,709,629
IOWA,2011,119,410,396,304
KANSAS,2011,102,302,371,366
KENTUCKY,2011,263,583,514,428
LOUISIANA,2011,236,527,462,489
MAINE,2011,55,181,155,164
MARYLAND,2011,192,595,531,893
MASSACHUSETTS,2011,248,693,607,1068
MICHIGAN,2011,360,1315,1102,1032
MINNESOTA,2011,165,592,711,709
MISSISSIPPI,2011,198,345,342,247
MISSOURI,2011,293,782,791,630
MONTANA,2011,27,130,134,124
NEBRASKA,2011,68,226,224,205
NEVADA,2011,117,296,342,275
NEW HAMPSHIRE,2011,35,136,144,193
NEW JERSEY,2011,316,986,732,1195
NEW MEXICO,2011,112,198,252,232
NEW YORK,2011,981,2094,1725,2710
NORTH CAROLINA,2011,504,1071,1152,1066
NORTH DAKOTA,2011,23,76,99,82
OHIO,2011,571,1829,1193,1086
OKLAHOMA,2011,188,471,464,376
OREGON,2011,115,381,531,483
PENNSYLVANIA,2011,555,2055,1170,1457
RHODE ISLAND,2011,59,130,112,133
SOUTH CAROLINA,2011,231,625,513,425
SOUTH DAKOTA,2011,32,105,112,81
TENNESSEE,2011,393,896,679,643
TEXAS,2011,1638,2248,2679,2658
UTAH,2011,75,240,317,279
VERMONT,2011,24,84,66,91
VIRGINIA,2011,349,821,788,1123
WASHINGTON,2011,230,624,929,857
WEST VIRGINIA,2011,100,342,181,159
WISCONSIN,2011,181,751,730,694
WYOMING,2011,21,76,81,50
ALABAMA,2012,238,588,553,504
ALASKA,2012,21,79,99,84
ARIZONA,2012,344,587,799,809
ARKANSAS,2012,188,345,368,267
CALIFORNIA,2012,2008,2854,3916,4556
COLORADO,2012,165,414,602,809
CONNECTICUT,2012,131,362,324,568
DELAWARE,2012,35,111,98,104
DISTRICT OF COLUMBIA,2012,34,52,39,175
FLORIDA,2012,802,2379,2432,2383
GEORGIA,2012,472,1084,1063,1186
HAWAII,2012,38,138,131,149
IDAHO,2012,57,165,219,145
